DISTNAME,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT13R,DA0912DR13R,DAGC4X13R,DAGC5X12R,DA0GR13N,DA0GH13N,DA00A001S14R,DA00AR01S14R,DA00AW01S14R,DA00AM01S14R,DA00AC01S14R,DA00AS01S14R,DB00A001S14R,DH00A001S14R,DW00A001S14R,DI00A001S14R,D300A001S14R,D400A001S14R,D200A001S14R,DE00A001S14R,DA0CT13R,DA0CC13R,DA0CSA13R,DA0CAA13R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTO2FP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFUNAB1T,DPFUNA4T,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPREKP,DPFPAOTHP,DISTSIZE,COMMTYPE,PROPWLTH,TAXRATE
SOMERSET ISD,015909,015 BEXAR,20,Met Standard,6,3934,0.7,86.2,11.8,0.3,0.1,0.1,0.8,78.2,13.1,9,11,20.2,4.4,95.2,3.4,83.8,88.3,210,195,68,65,63,71,73,61,81,66,75,81,-1,-1,81,65,49,3.9,1202,15.5,591.4,261.7,0.7,2.5,8.4,44.3,10.7,33.4,109362,62816,53096,47442,68.9,6.7,15,53.6,7.8,18.5,19.2,2.3,52.8,42.7,2.2,72.8,9.4,0.2,7.2,4.3,6.1,81877,1.278,38841273,9990,72.7,13.2,14.1,10804579,0,39368040,34162430,8787,51.7,9.3,4.9,10.3,23.9,17646401,4539,49.4,15.9,13.3,5.6,3.4,4.5,3.8,0.7,3.5,0.1,"3,000 to 4,999",Non-metropolitan Stable,"Under $101,960",$1.2365 to under $1.3593
NORTH EAST ISD,015910,015 BEXAR,20,Met Standard,74,67986,7.1,56.9,29.1,0.3,3.6,0.2,2.9,46.5,9.6,8.8,10.8,17.2,6.1,96,1.5,89.9,93.3,4634,3782,82,83,77,81,84,84,71,78,91,78,93,86,87,72,72.3,32.1,1492,21.6,8448.2,4257.8,0.1,2.4,10.7,50.4,8.1,28.2,149725,78391,65604,53360,45.9,8,16,26,11.9,32.7,13.1,3.1,29.8,64.7,2.4,72.7,10.5,2.4,2.3,2.7,9.5,402221,1.425,650764111,9612,27.4,63.8,8.8,111581508,0,760960602,539292809,7966,59.9,3.9,5.7,9.9,20.7,322922947,4770,62.8,21,6.5,1.6,2.5,1,1.8,1.2,0.6,1,"50,000 and over",Major Urban,"$400,089 to < $441,532",$1.3593 and over
EAST CENTRAL ISD,015911,015 BEXAR,20,Met Standard,15,9689,8,71.3,19.2,0.1,0.3,0.1,1.1,66,8.2,10.5,12.2,19.3,6.7,95.4,1.1,92.7,94.3,668,593,69,70,61,68,71,69,68,67,75,50,84,60,71,64,57.5,16.7,1317,19.3,1156.4,556.7,1.2,2.6,9,48.1,11.7,27.3,103845,82479,61118,53443,48,8.4,17.4,38.4,10.2,29,21.7,5.9,37.2,54,2.8,61.6,11.4,8,6.5,3.3,9.2,199720,1.296,89523481,9362,53.6,34.4,12,17386686,0,88855239,73318805,7668,57.8,5.8,5,9.9,21.5,42343166,4428,59.2,16.9,9.4,0.7,3.4,1.9,1.2,1.9,5,0.4,"5,000 to 9,999",Major Suburban,"$181,217 to < $200,649",$1.2365 to under $1.3593
SOUTHWEST ISD,015912,015 BEXAR,20,Met Standard,17,13275,2.9,90.5,5.2,0.1,0.4,0.1,0.8,84,13.9,9.9,13.8,19.4,4.2,94.5,1.6,88.5,91,719,585,65,65,60,65,71,63,66,64,78,70,76,69,73,63,40.5,6.9,1272,18,1657.9,831.3,1.2,2.8,8.8,50.1,6.3,30.7,95387,77006,64601,54148,70.4,8,16,32.4,10.5,30.5,10.7,3.1,55.4,38.9,2.6,73.4,10.6,1.3,10.7,3.8,0.2,113529,1.273,120206119,9253,66.9,20,13.1,21275849,0,124824429,104776121,8065,55.3,5.7,5.9,10.5,22.6,57908905,4458,62.2,13.6,12,1,3.2,0.2,1.7,1.1,2.7,2.3,"10,000 to 24,999",Major Suburban,"$101,960 to < $151,909",$1.2365 to under $1.3593
LACKLAND ISD,015913,015 BEXAR,20,Met Standard,2,931,16.4,27.1,41,0.3,2.9,0.9,11.4,35.4,3.4,10.3,3.4,17.5,4.8,96.8,0,97.4,95.2,38,34,89,90,87,90,87,88,84,90,92,100,92,100,85,86,94.7,30.6,1488,20.8,154.3,73.7,1.5,1.9,11.4,47.8,12.8,24.5,123433,79357,64353,56439,45.6,6,12.6,25.8,14,30.5,9.1,10.8,16.6,72.5,0,81.2,9.9,3.9,1.1,3,1,.,.,16269255,15436,48,1.4,50.6,10857398,0,13658941,12060721,11443,58.9,7.2,4.2,9.1,20.5,7102136,6738,63.1,17.8,7.7,0.7,3.4,1,0.7,0.1,5.5,0,500 to 999,Non-metropolitan Stable,Non-taxing entities,Non-taxing entities
FT SAM HOUSTON ISD,015914,015 BEXAR,20,Met Standard,2,1542,19.7,28,39.2,0.6,2.3,1.2,9.1,32.9,3.7,11.9,3.4,12.8,4.6,96.1,0.2,98.7,96.9,76,64,83,87,86,80,84,72,75,83,88,71,86,86,86,78,84.2,37.5,1506,22.6,233.7,125.9,1.3,3.9,8.9,53.9,11.4,20.7,131993,72218,65641,54267,39.8,6.6,12.2,26,12.3,42.7,14.9,10.3,21,63.9,4.8,78,13.5,0.9,1.1,1.9,4.7,.,.,24351364,15172,43.6,8.3,48,7076080,0,22428086,19962924,12438,55.4,10.8,5.5,10.4,17.9,11061584,6892,57.6,31,2.6,0.6,1.3,0.4,2.8,0,3.7,0,"1,000 to 1,599",Non-metropolitan Stable,Non-taxing entities,Non-taxing entities
NORTHSIDE ISD,015915,015 BEXAR,20,Met Standard,112,101549,6.1,68.8,18.8,0.1,3,0.3,2.8,52.3,7.4,10.9,6.8,19,9.6,95.7,1,92.4,94.8,6038,5102,81,82,76,81,83,80,78,79,90,83,87,84,89,75,65.4,24.8,1427,21.6,12833.8,6462.1,0.3,2.2,10.9,50.4,8.5,27.8,110596,77012,58920,53656,57,7.9,15.7,32.4,10.9,33.4,10,3.5,41.6,52.1,2.8,64,13.8,5.4,8.1,3.4,5.2,326060,1.376,917007512,9223,36,54.4,9.6,91467312,0,1043319084,757600853,7620,60.5,4.9,5.3,9,20.3,457946131,4606,62.7,20.3,7.5,0.5,2.6,1.2,1.9,1.2,1.4,0.9,"50,000 and over",Major Urban,"$324,855 to < $340,343",$1.3593 and over
JUDSON ISD,015916,015 BEXAR,20,Met Standard,29,22928,23.2,54.8,16.4,0.3,1.8,0.3,3.2,70.5,8.2,9.7,8.2,22.2,7.8,95.7,2.4,84,86.6,1332,1097,72,74,64,72,75,73,67,72,81,73,84,83,78,69,67.9,12.1,1329,19,2903.5,1335.3,0.3,2.6,14.5,46,7.2,29.4,109240,71234,55702,49283,54.4,7.9,17.2,37.5,9.5,30.5,22.8,16.2,28.1,53.2,2.5,77.7,8.5,0.1,4.1,4.6,5.1,266653,1.425,208543388,9237,44.8,44.7,10.5,40196130,0,203992312,171152524,7581,60.1,5.3,5.2,10.3,19.1,102939591,4560,62.4,19.8,7.6,0.4,3.2,0.7,1.6,1.1,2.2,1.2,"10,000 to 24,999",Major Suburban,"$259,094 to < $282,185",$1.3593 and over
SOUTHSIDE ISD,015917,015 BEXAR,20,Met Standard,9,5150,0.9,90.3,8.1,0,0.3,0,0.4,80.1,14.7,9.6,14.5,24.9,8,94.8,1.7,92.6,89.1,287,255,63,63,53,63,68,66,68,63,63,-1,79,.,50,61,54.4,8.3,1298,19.3,707.5,353.7,0.6,2.9,10.7,50,7.8,28,126596,69868,58265,50385,71.3,7.3,14.6,36.5,8.5,26.1,19.2,3.9,59.1,35.6,1.4,76.3,9.4,2.7,3,4.5,4.2,94204,1.369,55818250,10896,69.5,17.9,12.7,22548755,0,52238077,45722115,8925,54,8,5.5,11.2,21.3,24682834,4818,57.7,14.6,12.9,5,3.9,0.3,2.6,0.5,1.4,1.2,"5,000 to 9,999",Major Suburban,"Under $101,960",$1.3593 and over
JOHNSON CITY ISD,016901,016 BLANCO,13,Met Standard,3,707,0.1,27.7,68.9,0.7,0.3,0,2.3,38.8,4.8,9.2,4.7,25.6,5.7,96.2,1.4,95.8,100,48,37,84,85,79,87,88,73,.,78,87,-1,-1,.,83,80,70.8,29.4,1529,21.5,113.4,60.7,2.6,2.6,5.8,53.5,12.1,23.3,91286,78007,60974,49375,10.1,6.2,11.6,18.1,13.7,19.4,13.7,0,1.6,96.7,1.6,80.8,10.5,0,0,4.7,4,773327,1.192,9134431,12669,16.1,77.9,6,3453590,0,8700721,7154738,9923,57.6,10.2,5,9.7,17.5,4119561,5714,58.5,21.8,8.3,0.3,4.3,0.5,4,2.4,0,0,500 to 999,Rural,"$683,703 to < $2,233,241",$1.1251 to under $1.2365
BLANCO ISD,016902,016 BLANCO,13,Met Standard,3,970,1,37,59.9,0.3,0,0,1.8,51.3,5.3,9.1,5.6,24.3,9,96.2,0,100,100,74,68,80,80,70,81,85,70,81,70,86,-1,.,.,65,72,77,35.1,1517,21.6,160.6,86.8,2.5,2.1,9.3,54.1,7.5,24.7,97204,74702,53737,50385,9.4,6,11.2,18.6,15.3,21.9,7.4,0,1.2,98.8,0,77.2,9.1,4.8,1.2,4.7,3.1,692082,1.206,11560630,12182,22,71.1,6.9,2479638,0,15537364,10479167,11042,57.6,10.8,4.6,9.6,17.4,6030429,6355,61.6,16.4,8.5,0.5,3.8,1.2,4.4,1,1.8,0.9,500 to 999,Non-metropolitan Stable,"$683,703 to < $2,233,241",$1.1251 to under $1.2365
BORDEN COUNTY ISD,017901,017 BORDEN,17,Met Standard,1,256,0.8,15.2,76.2,1.6,0,0,6.3,23.4,0.8,6.6,0.8,35.9,3.1,96.4,0,100,100,16,14,93,95,97,93,86,85,100,82,94,100,.,.,88,86,87.5,35.7,-1,22.7,45.1,18.2,2.2,0.9,7,40.3,8.9,40.6,183544,88019,60242,56460,24.1,5.7,14.1,11,15.3,12,5.3,0,5.5,94.5,0,84.5,1.8,6.4,0,7.4,0,2961670,1.32,8988448,37767,4.8,92.4,2.8,5088112,0,9705701,4598494,19321,41.1,16.1,2.1,20,20.7,1890709,7944,63.3,15.3,4.3,0.4,6.5,0.3,9.1,0.7,0,0,Under 500,Rural,"$2,233,241 and over",$1.2365 to under $1.3593
CLIFTON ISD,018901,018 BOSQUE,12,Met Standard,3,1039,2.8,32.9,58.9,0.8,1,0,3.7,60,7.4,10.4,7.3,25.4,5.4,97,0,100,100,70,66,81,82,73,80,83,89,56,73,87,65,85,.,76,73,65.7,28.3,1453,21.6,161.7,84.5,1.5,3.2,7.4,52.3,9.9,25.7,76817,68660,49483,43725,7.7,6.4,12.3,33.8,12.5,9.4,13.8,0,4.7,95.3,0,77,5.7,9.2,2.4,5.2,0.5,463906,1.14,9916885,9947,29.9,59,11.1,1958800,0,10280994,9372455,9401,58.9,5.4,6.3,11.3,18.1,5522224,5539,68.6,14.4,5,0.1,3.7,0.3,3.8,1.3,1.5,1.4,"1,000 to 1,599",Non-metropolitan Stable,"$441,532 to < $469,944",$1.1251 to under $1.2365
MERIDIAN ISD,018902,018 BOSQUE,12,Met Standard,2,523,4,32.1,59.7,0.2,0.4,0,3.6,61.6,5.2,10.9,5,25.2,8,96.6,0,90.5,97.1,38,34,85,89,82,85,85,76,69,83,88,.,.,.,74,81,73.7,21.4,1414,21,84.3,51.8,1.2,2.9,3.6,61.4,9.5,21.4,92500,69300,49939,45971,4.7,6.2,10.1,21.7,14.5,23,29,0,1.9,98.1,0,78.1,15.3,1.9,0,4.6,0,279591,1.36,8014196,15776,46.1,42.1,11.8,2946992,0,10150118,6450489,12698,57.4,8.7,5.9,9.7,18.4,3700964,7285,43.8,36.4,9,0,4.7,0.4,3.4,0.6,0.2,1.6,500 to 999,Rural,"$259,094 to < $282,185",$1.3593 and over
MORGAN ISD,018903,018 BOSQUE,12,Improvement Required,1,117,0,65,27.4,1.7,0,0,6,95.7,16.2,17.1,0.9,24.8,0.9,94.9,0,100,83.3,8,6,53,63,65,47,45,41,.,49,63,.,.,.,-1,52,0,.,.,.,19.3,12,5.2,0,0,62.3,5.2,27.3,68500,.,.,40497,27.3,6.1,9.7,50,12.8,8.3,9.1,0,8.3,91.7,0,69.2,13.4,8.3,0,9,0,545874,1.04,1528022,14835,47.7,38.3,14,466806,0,1287814,1272637,12356,53.4,11.7,5,11.3,18.6,679776,6600,52.1,14.1,24.1,0.1,5.3,0.1,3.7,0,0,0.4,Under 500,Rural,"$525,059 to < $683,703",Under $1.1251
VALLEY MILLS ISD,018904,018 BOSQUE,12,Met Standard,3,618,3.4,22.3,70.4,0.6,0.5,0,2.8,56,6.6,11,6.6,20.1,3.2,96.1,0,100,100,57,44,76,78,72,75,72,74,58,72,78,-1,-1,.,63,69,52.6,16.7,1337,22.6,90.9,48.5,3.3,3.9,4.4,53.4,9.9,25.2,72435,71201,48632,42199,4.4,6.8,12.7,24.7,13.3,17.5,20.5,0,0,97.9,2.1,82.4,10.1,2.1,0,4.8,0.7,293843,1.314,6341262,10098,50.5,43.7,5.8,769062,0,6159818,5491163,8744,52.2,8.8,6.4,11.7,21,2865535,4563,60,15.6,10.6,0.3,5.5,0.3,5.9,1.6,0.2,0,500 to 999,Rural,"$282,185 to < $299,922",$1.2365 to under $1.3593
WALNUT SPRINGS ISD,018905,018 BOSQUE,12,Improvement Required,1,174,0,59.2,40.2,0,0,0,0.6,86.8,17.2,10.9,17.2,37.4,10.9,96.1,1.7,87.5,93.3,15,8,73,77,73,68,82,55,.,70,78,.,.,.,.,71,46.7,28.6,1232,-1,35,19,2.9,2.9,2.6,54.3,8.8,28.6,82353,73700,17552,43604,5.7,5,9.2,10.5,15.6,5.3,15.8,0,5.3,94.7,0,69,14.7,5.3,0,11,0,352329,0.9,1992253,10011,53.2,34.5,12.3,460220,0,2006169,1890669,9501,56.6,9.9,5.9,9.7,17.9,1070506,5379,37.5,9.9,33.9,0.6,8.9,0.4,5.3,1.2,1.8,0.7,Under 500,Rural,"$340,343 to < $382,231",Under $1.1251
IREDELL ISD,018906,018 BOSQUE,12,Met Standard,1,135,0,24.4,74.8,0,0,0,0.7,51.9,0.7,9.6,0.7,46.7,0.7,97.4,0,100,88.9,5,5,78,80,63,84,73,73,.,69,81,.,.,.,.,71,80,-1,-1,-1,24.9,14.5,4,4,2.2,58.2,0,31.5,86383,50181,53591,43801,11.8,5.4,9.3,6.9,14.9,10.2,6.7,0,6.9,93.1,0,82,6.3,2.2,0,8.6,1,550688,1.11,1569585,11982,33.2,55.2,11.7,12912,0,1659428,1437286,10972,57.9,13.9,4.9,8.8,14.5,832718,6357,65.3,9.8,13.9,0.3,6.9,0,3,0,0.6,0,Under 500,Rural,"$525,059 to < $683,703",Under $1.1251
KOPPERL ISD,018907,018 BOSQUE,12,Met Standard,1,224,0.9,12.1,86.2,0,0,0,0.9,72.3,0.4,12.1,0.4,35.7,1.8,95,2.6,93.3,94.4,15,10,80,85,63,77,78,89,-1,90,80,.,.,.,-1,79,33.3,20,1446,.,37.5,20.1,2.6,2.4,1.6,53.6,10.7,29.1,68702,71514,23656,42756,10.6,6,11.2,19.9,13.9,8,10.3,0,14.9,85.1,0,80,7.2,4.3,0,8.6,0,430877,1.063,2612021,11162,44.3,46.6,9.1,660671,0,2551825,2431469,10391,50.1,8,7,15.4,19.5,1218250,5206,62.2,13.1,9,1.2,5.4,0.3,6.1,1.4,1.2,0,Under 500,Rural,"$400,089 to < $441,532",Under $1.1251
CRANFILLS GAP ISD,018908,018 BOSQUE,12,Met Standard,1,123,0,27.6,72.4,0,0,0,0,78,6.5,8.1,6.5,43.1,0,96.1,0,100,100,6,5,75,73,-1,81,82,73,.,63,79,.,.,.,.,75,83.3,0,-1,-1,25.4,13,3.9,3.9,2,51.2,19.6,19.3,81020,58000,50750,41005,7.9,4.8,9.5,23.1,15.2,0,10.3,0,0,92.3,7.7,83.5,4.6,3.4,0,8.5,0,538900,1.04,1525909,12110,40.1,48.7,11.3,937988,0,1510880,1460710,11593,55.6,12.3,4.2,9,19,812314,6447,54.2,13,16.8,1.8,8.4,0,3.1,1.3,1.4,0,Under 500,Rural,"$525,059 to < $683,703",Under $1.1251
DEKALB ISD,019901,019 BOWIE,08,Met Standard,4,822,20.8,11.6,62.4,1.2,0.1,0,3.9,65.2,6,11.4,5.1,27.3,5.1,95.1,1.6,90.5,98.4,57,52,76,75,61,78,83,79,65,70,81,60,-1,.,76,70,73.7,19,-1,20.1,128.8,69.8,2.3,1.7,11.6,54.2,10.9,19.3,77419,68297,49569,42557,21,6.4,11.8,40.1,12.2,18.3,19.2,4.3,4.3,91.4,0,74.5,7.7,5.7,0.4,11.1,0.6,204909,1.17,7632075,9411,66.2,28,5.8,1150674,0,8249187,7694006,9487,55.7,6.5,4.1,22.5,11.1,4288062,5287,58.7,9.2,14,0.2,7.2,0.5,5.2,1.2,3.7,0.2,500 to 999,Rural,"$200,649 to < $226,769",$1.1251 to under $1.2365
HOOKS ISD,019902,019 BOWIE,08,Met Standard,3,885,13.9,9.6,68.9,0.2,0.2,0.1,7,57.6,3.1,10.3,3.1,28.6,8.1,95.7,0,98.8,98.7,85,45,83,86,79,80,84,79,76,71,86,100,-1,.,73,78,56.5,10.4,.,18.4,138.9,78.5,3.2,5,8.6,56.5,13,13.6,78421,63822,50308,43474,7.9,6.4,11.3,20.4,15,20.4,15.1,2.5,1.3,96.2,0,75.2,5.1,3.6,0,11.8,4.4,163027,1.26,9739409,11042,70.6,20.6,8.8,1594684,0,9461221,8447310,9577,57.2,6.8,7.6,11.7,16.7,4832554,5479,64.6,9.9,7.7,0.1,8.2,1,5.1,1.6,1.5,0.3,500 to 999,Non-metropolitan Stable,"$151,909 to < $181,217",$1.2365 to under $1.3593
MAUD ISD,019903,019 BOWIE,08,Met Standard,1,482,7.5,2.1,86.9,0.6,0,0,2.9,52.9,0,11.6,0,26.1,5,96.1,0.6,97.1,100,35,20,82,85,71,81,90,71,70,76,84,67,.,.,82,78,60,23.8,.,21.4,76.5,40.3,2.6,3.9,10.7,52.7,13.7,16.3,86930,71264,46198,44002,5.9,6.3,12,22.3,13.2,14.9,19.5,0,2.5,97.5,0,69.7,5.8,12.9,0,10.4,1.1,115649,1.214,5098388,10644,72.4,17.8,9.9,1286615,0,5953184,4614553,9634,56.3,8.8,6.1,10.1,18.7,2598490,5425,59.4,15,5.9,0,7.4,0.3,7.4,1.1,3.3,0.2,Under 500,Rural,"$101,960 to < $151,909",$1.1251 to under $1.2365
NEW BOSTON ISD,019905,019 BOWIE,08,Met Standard,4,1376,22.2,6.4,62.8,0.4,0.5,0.1,7.6,62.8,1.1,13,1.1,25.6,5.2,95.7,2.1,95.8,95.7,72,48,78,79,66,83,78,70,65,86,82,64,100,100,74,73,69.4,16,.,19.8,219.9,123.2,1.8,4.3,6.2,56,17.3,14.5,80622,64671,53683,45040,11.5,6.3,11.2,29.5,14.6,16.7,12.8,7.3,0.8,91.1,0.8,71.5,14.3,5.2,0,6.6,2.3,238062,1.414,16444035,11916,53.5,33.4,13.2,2575210,0,14814807,13527432,9802,61.3,7.6,6.5,10.6,14,8290526,6008,51.2,30.1,4.5,0,5,0.2,2.5,0.8,2.7,3,"1,000 to 1,599",Non-metropolitan Stable,"$226,769 to < $239,665",$1.3593 and over
REDWATER ISD,019906,019 BOWIE,08,Met Standard,4,1130,2.7,3.6,91.5,0.8,0.3,0,1.2,40.4,0.3,8.8,0.3,38.1,8.9,96.1,0,97.1,97.8,99,78,78,80,66,81,78,74,58,82,78,71,-1,.,83,71,72.7,19.4,.,19.7,159.2,101.3,1.3,2.3,5.6,63.6,8,19.3,90000,62815,54123,44241,5.6,7.1,11.2,19.3,12.6,18.5,14.9,1,1,98,0,83.8,5.4,0.6,0.5,7.3,2.3,170845,1.285,10548395,9086,63.2,27.6,9.3,2830861,0,9952743,8949521,7708,62.9,5.4,5.8,10.3,15.5,5630217,4849,68.8,12.7,5.9,0,6.4,0.6,3.9,1.3,0.1,0.2,"1,000 to 1,599",Non-metropolitan Stable,"$151,909 to < $181,217",$1.2365 to under $1.3593
TEXARKANA ISD,019907,019 BOWIE,08,Met Standard,12,7239,45.5,13.2,35.5,0.4,1.1,0.1,4.2,68.5,5.2,10.2,5.2,23.9,6.1,95.7,1,93.2,95.9,436,343,74,73,74,74,76,73,60,76,88,86,93,100,82,66,66.7,24.4,1626,20.2,935.6,489.6,1,3.7,9.1,52.3,11.3,22.5,97947,66724,54416,44203,31.5,7.7,14.8,40.1,11,37.6,15.9,13.8,5.6,78.5,2.1,66,11.1,5.5,2.9,5.3,9.2,253133,1.339,68555699,9627,44.7,40.6,14.7,5262619,0,68520022,58874553,8268,58,4.3,6.1,11.5,20.1,34161648,4797,59.7,12.6,12.9,1.9,4.5,0.3,3.8,1.2,1.6,1.5,"5,000 to 9,999",Independent Town,"$239,665 to < $259,094",$1.2365 to under $1.3593
LIBERTY-EYLAU ISD,019908,019 BOWIE,08,Met Standard,7,2672,47.8,5.8,39.8,0.3,0.2,0.4,5.7,73.8,1.5,11.4,1.5,27.4,5.9,95.4,1.8,94.6,91.4,162,106,72,74,72,71,70,67,64,79,79,-1,-1,92,79,68,56.8,10.9,-1,18,408.5,211.2,2.1,3.9,7.1,51.7,11.2,24,83265,66790,48963,45004,34.2,6.5,12.6,22.3,14,21.8,18.4,20.1,0,79.4,0.5,68.8,10.5,11.7,0.5,6.3,2.3,184287,1.261,27146561,9871,56.8,26.9,16.3,3967205,0,24866414,23699059,8618,60.2,6.1,6.9,11,15.8,14256229,5184,53.9,18.6,11.1,0.1,4.8,0.4,3,1,6.8,0.4,"1,600 to 2,999",Non-metropolitan Stable,"$181,217 to < $200,649",$1.2365 to under $1.3593
SIMMS ISD,019909,019 BOWIE,08,Met Standard,3,515,0.2,3.5,93.6,0,0,0,2.7,55.3,0,16.1,0,39,4.1,95.8,0,97.4,97.8,38,22,78,80,68,84,76,65,-1,68,77,.,.,.,96,75,65.8,12,-1,19.6,82.8,47,1.2,3.6,2.4,56.8,12,23.9,95605,62396,55820,41901,2.4,6.2,11,8.5,14,23.4,4.3,0,2.1,95.7,2.1,71.8,6.2,8,0,7.8,6.2,193339,1.105,5252661,10526,69.7,23.9,6.3,1184570,0,5420944,4740188,9499,60.9,7.4,5.8,10.2,15.8,2884578,5781,61.6,12.2,9.9,0,7.3,0.3,5.5,1.3,1.8,0.2,500 to 999,Rural,"$181,217 to < $200,649",Under $1.1251
MALTA ISD,019910,019 BOWIE,08,Met Standard,1,147,0,5.4,87.1,1.4,0,0,6.1,60.5,0.7,10.9,0.7,0,3.4,96.9,.,.,.,.,.,80,76,79,83,83,.,.,50,84,.,.,.,78,79,.,.,.,.,20.9,13.6,4.8,1.7,0,65.2,18.8,9.6,83896,59039,.,39025,4.8,7,10.8,29.3,10.5,4.7,13.3,0,0,100,0,78,7.3,14.7,0,0,0,124695,1.093,1194422,8125,78.8,18.2,3,326670,0,1241581,1170581,7963,67.2,9.6,7,11.2,5,786489,5350,66.6,13.4,15.1,0,0,0.3,0,0,4.6,0,Under 500,Rural,"$101,960 to < $151,909",Under $1.1251
RED LICK ISD,019911,019 BOWIE,08,Met Standard,2,484,0.8,3.5,92.6,1,0.6,0,1.4,7.2,0.8,5.2,0.8,0,10.7,97.1,.,.,.,.,.,95,98,94,93,93,96,100,97,95,100,100,.,94,96,.,.,.,.,55,32,3.6,3.6,3.6,58.1,5.5,25.5,73690,65981,54349,44823,5.4,8.8,15.1,9.4,16.7,18.8,8.1,0,0,100,0,93.7,6.3,0,0,0,0,315818,1.184,4334825,8401,43.7,54.5,1.8,1334361,0,5022274,3626992,7029,56.3,9.4,6.6,14.3,13.4,2042462,3958,87.9,6.1,3.4,0,0,1.4,1.2,0,0,0,Under 500,Rural,"$312,844 to < $324,855",$1.1251 to under $1.2365
PLEASANT GROVE ISD,019912,019 BOWIE,08,Met Standard,4,2020,12.3,6.9,73.5,0.6,3.4,0.3,3.1,27.3,2.5,7.6,2.1,31.7,18.4,96.2,0,96.9,99.2,156,135,92,92,90,93,95,90,81,92,94,91,97,100,95,88,87.2,39,1678,22.2,261.4,152.8,1.1,3.4,7.3,58.5,5.3,24.4,112434,68317,55014,46861,12.1,7.7,13.2,18.7,15.2,25.8,13.5,2.6,0,95.3,2,74.2,6.6,5.7,0.7,5.8,7.1,399659,1.44,19032827,9330,27.4,68,4.6,2546358,0,18869412,15353835,7526,59.4,7.1,5.5,11.9,16.2,9117464,4469,67.2,13.4,3.3,0.9,5.7,0.8,3.5,2.4,2.4,0.3,"1,600 to 2,999",Non-metropolitan Stable,"$382,231 to < $400,089",$1.3593 and over
HUBBARD ISD,019913,019 BOWIE,08,Met Standard,1,96,0,14.6,80.2,2.1,0,0,3.1,57.3,8.3,13.5,8.3,12.5,0,97.2,.,.,.,.,.,91,100,100,90,71,-1,.,-1,91,-1,.,.,-1,86,.,.,.,.,17,10,5.9,0,0,58.8,17.6,17.6,71269,.,.,38707,5.9,5.6,9.6,40,13,0,9.1,0,0,100,0,89.3,0,4,0,6.7,0,183448,1.04,940113,9496,66.4,25.6,8,310192,0,922362,826262,8346,64.5,10.7,4.2,7.9,12.6,533000,5384,69.7,9.2,13.4,0.4,0,0.5,0,0,6.9,0,Under 500,Rural,"$181,217 to < $200,649",Under $1.1251
LEARY ISD,019914,019 BOWIE,08,Met Standard,1,110,4.5,7.3,79.1,0.9,0,0,8.2,68.2,0,5.5,0,0,2.7,98.4,.,.,.,.,.,83,88,100,80,81,-1,100,80,81,-1,.,.,100,81,.,.,.,.,20,12,5,5,0,60,10,20,88498,60600,.,38626,0,5.5,9.2,25,11.6,0,25,0,0,91.7,8.3,83.3,8.3,8.3,0,0,0,306111,1.04,938869,8613,50.7,38.6,10.8,277899,0,1060909,1046645,9602,56,17.3,10.5,7.3,9,586423,5380,70.8,13.5,13.5,0.1,0,0.2,0,0,1.4,0.5,Under 500,Rural,"$299,922 to < $312,844",Under $1.1251
ALVIN ISD,020901,020 BRAZORIA,04,Met Standard,23,19667,14.7,43.9,30.4,0.5,8.7,0.1,1.8,50.5,16,9.2,15.7,20.9,9.1,96.1,0.6,94.9,96.6,1055,959,78,76,71,80,83,74,77,72,82,80,93,67,85,70,49.7,24.6,1428,20.6,2444.8,1208.6,1.2,2.7,7.6,49.4,9.6,29.5,89768,78918,64360,53072,33.8,8,16.3,36.6,9.6,21.9,13.8,10.1,15.4,70.8,3.7,76.4,10.9,0.4,3.1,3,6.2,201209,1.329,181686338,9681,50.4,42.1,7.5,33599777,0,180890597,147797585,7875,57.9,10,5.2,8.5,18.4,85551350,4559,69.1,15,6.2,0.8,2.8,0.9,2,1.3,1.1,0.7,"10,000 to 24,999",Major Suburban,"$200,649 to < $226,769",$1.2365 to under $1.3593
