DISTRICT,DZCAMPUS,DA00A001S15R,DB00A001S15R,DW00A001S15R,DH00A001S15R,DI00A001S15R,D200A001S15R,D300A001S15R,D400A001S15R,DE00A001S15R,DA00AR01S15R,DA00AM01S15R,DA00AC01S15R,DA00AS01S15R,DA00AW01S15R,DA0AT14R,DA0912DR14R,DAGC4X14R,DAGC5X13R,DA0GH14N,DA0CC14R,DA0CT14R,DA0CSA14R,DA0CAA14R,DA0GR14N,DPSTTOFC,DPSATOFC,DPSTURNR,DPSTEXPA,DPSTTOFP,DPSUTOFP,DPSSTOFP,DPSCTOFP,DPSETOFP,DPSXTOFP,DPSAMIFP,DPSAKIDR,DPSTREFP,DPSTVOFP,DPSTBIFP,DPSTCOFP,DPSTSPFP,DPSTGOFP,DPSTBLFP,DPSTWHFP,DPSTHIFP,DPSTO2FP,DPST05FP,DPSTADFP,DPSTKIDR,DPSTTOSA,DPSUTOSA,DPSSTOSA,DPSCTOSA,DPETALLC,DPETWHIP,DPETBLAP,DPETHISP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETVOCP,DPETBILP,DPETGIFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DPFRAFEDP,DPFUNAB1T,DPFUNA4T,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPREKP,DPFPAOTHP,DZRVLOCP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DISTNAME,REGION,DZRATING,DZCNTYNM,DISTSIZE,COMMTYPE,PROPWLTH,TAXRATE
050901,2,80,,80,77,-1,-1,,,76,82,85,69,81,81,96,0,100,100,12,11.1,60,-1,18.8,15,22,43.6,22.7,12,50.4,2.3,4.6,2.3,0,40.4,9.2,5.9,86.3,4.8,0,4.5,1.8,2.6,0,95.5,4.5,0,22.7,4.5,11.7,37567,50302,70265,83578,258,73.3,0.4,24,0.4,0,0,1.9,65.9,5,6.2,36.8,5,0.8,331250,1.04,2512702,10340,53.1,7.1,444101,0,2235547,2235547,9200,50,1117652,4599,61.6,7.6,14.3,0.3,6.1,0.3,5.7,4.2,0,0,39.8,13.6,4.7,10,21.7,EVANT ISD,12,Met Standard,050 CORYELL,Under 500,Independent Town,"$322,342 to < $332,093",Under $1.1398
050902,5,80,69,82,73,79,79,96,,72,81,93,83,74,68,95.7,0.1,97.9,96,137,23.3,45.3,1381,20.8,190,197.6,365.1,12.1,12.5,54.1,5.4,2.8,1.1,11.9,24.8,7.7,7.7,73.4,3.7,0.7,8.5,11,2.6,0,94.9,2.5,2.5,22.8,12.1,14.2,41781,48242,64277,80830,2806,70.9,2.2,21.7,0.6,0.6,0,3.9,49.1,4.1,11.8,20,4,6.9,211527,1.128,24576048,8724,61.5,5.9,8608913,0,25695396,21138988,7504,56.8,12008480,4263,61.5,16.6,8.7,0.2,3.7,0.4,5,2.2,1,0.7,32.6,4.8,5.8,9.8,22.8,GATESVILLE ISD,12,Met Standard,050 CORYELL,"1,600 to 2,999",Other Central City Suburban,"$180,893 to < $213,468",Under $1.1398
050904,1,64,,65,60,,71,,,61,69,92,50,65,50,96.7,0,91.7,100,10,0,50,1342,-1,12,18.1,31.3,19.6,11.5,57.9,0,2.1,3.2,12.8,24,12.8,5.9,81.5,10.6,1.1,3,3.8,0,0,100,0,0,33.1,23.9,10.1,40697,,63501,80000,184,68.5,0,28.8,0,0,0,2.7,66.3,4.9,7.6,42.4,4.9,1.1,209776,1.114,2142140,12601,69,6.6,626386,0,1984687,1855983,10918,54.4,1010298,5943,60.8,6.4,10.1,0.2,13.3,0.3,4.5,0.9,3.1,0.4,24.4,13.3,6.7,8,17.6,OGLESBY ISD,12,Improvement Required,050 CORYELL,Under 500,Rural,"$180,893 to < $213,468",Under $1.1398
050909,1,70,-1,70,67,,83,,,63,70,81,50,78,64,97.3,0,100,100,11,18.2,91.7,-1,20,12,15.8,26.9,23.5,12.3,58.5,0,3.7,0.9,14.8,22.1,7.4,7.1,82.6,11.2,0,3.5,1.8,0.9,0,93.7,6.3,0,38,17.6,12,41710,,50800,85000,190,85.3,0.5,12.1,0,0,0,2.1,47.9,1.1,11.6,38.9,1.1,1.6,310834,1.259,2021230,10694,53,6.2,477974,0,1976175,1548674,8194,53.1,821499,4347,62.8,9.5,9.1,0,11.6,0.1,4.4,1.3,1.1,0,40.8,15.4,2.1,11.9,17.6,JONESBORO ISD,12,Improvement Required,050 CORYELL,Under 500,Rural,"$307,766 to < $322,342",$1.2401 to under $1.3690
050910,11,82,74,84,82,82,84,91,81,77,83,83,85,78,76,95.5,1.4,92.8,94.7,430,17.1,58.3,1381,19.6,501,546.9,1159,19.4,9.8,47.2,6.5,3.5,0.7,9,33.1,25.7,6.8,82.1,4.2,0.6,3,5.5,4.7,11.7,74.2,9.5,4.6,39.2,20.5,14.3,47218,58338,70315,99514,7826,44.7,18.7,23.9,0.7,1.4,1.8,8.9,51.5,3.2,8.9,25.1,2.7,6.3,152768,1.217,83129550,10078,53,24.5,22101879,0,79097388,71648672,8686,55.3,39642050,4806,59.9,13.3,6,0.6,3.6,0.7,4.6,0.9,8.4,1.9,22.5,8.2,5.6,9.8,21,COPPERAS COVE ISD,12,Met Standard,050 CORYELL,"5,000 to 9,999",Other Central City Suburban,"$103,884 to < $153,471",$1.1398 to under $1.2401
051901,1,67,51,73,68,-1,-1,,,62,69,87,65,58,58,96.6,1.9,100,100,14,22.2,60,,20.8,15,22.9,42.8,14,15.9,53.4,2.3,0.3,2.3,16.3,25.3,18.7,4.8,70.4,15.3,0,3.5,10.8,0,3.9,91.8,0,4.4,4.4,8.2,9,44942,50751,56060,95197,205,48.3,12.2,35.6,1.5,0,0,2.4,65.4,0,13.2,34.1,0,0.5,622385,1.04,2671088,12719,36,9.9,408510,0,3413907,2836137,13505,54.8,1555471,7407,54.7,11.9,15.5,0.1,10.9,0,5.5,1.1,0.2,0.2,54.2,14.7,2.9,8.5,19,PADUCAH ISD,17,Met Standard,051 COTTLE,Under 500,Rural,"$533,171 to < $666,628",Under $1.1398
052901,3,64,66,74,61,,,-1,,57,65,73,62,68,52,94.7,2,86.4,96.8,52,15,69,1621,18.8,58,94.3,174.7,26.8,12.5,54,7.8,3,2.9,14.5,17.9,42.5,6.7,74.3,4.5,4.2,5.8,8.6,2.5,1.9,69.7,28.4,0,26.6,18.7,12.3,54351,68864,77883,98329,1162,21.6,2.2,75.4,0.2,0.1,0.1,0.4,40.5,16.9,7.5,24.9,16.6,5.4,2212536,1.108,18230768,15894,29.5,3.7,8665023,0,18231895,14608404,12736,55.4,8085814,7050,62.1,14,5.6,3.1,2.6,0.7,7.5,0.2,4.3,0,66.7,10.3,5.1,10,19.3,CRANE ISD,18,Met Standard,052 CRANE,"1,000 to 1,599",Other Central City Suburban,"$1,678,318 and over",Under $1.1398
053001,3,71,-1,84,67,78,,-1,,64,72,70,65,68,78,96,1.3,93.8,97.9,32,6.5,66,1296,18.2,47,68.1,142,22,10.9,47.9,7.6,3.2,1.4,14.1,25.8,49.6,6.1,83.3,2.7,7.7,0,5.8,0.6,0,70,27.1,2.9,45.4,8,12.7,43705,49582,69399,85982,864,23.8,0.3,74.4,0.8,0.3,0,0.2,62,17,6.6,17.6,21.2,4.9,2524786,1.06,11143341,13757,20.6,6.1,4093881,0,10572480,9942053,12274,52.8,5249128,6480,70.3,7.6,10.4,1.1,1.9,0.2,5.6,0.8,2.1,0,73.2,9,5.1,15.2,17.8,CROCKETT COUNTY CONSOLIDATED CSD,15,Met Standard,053 CROCKETT,500 to 999,Non-metropolitan Stable,"$1,678,318 and over",Under $1.1398
054901,3,69,45,84,63,,-1,,,64,71,84,58,74,62,95.6,1,91.7,96,17,8.3,54.5,,17,22,37.8,73.2,39.5,10.7,51.6,2.7,2.7,2.7,15,25.2,39.5,5,75.7,6,0,10.4,7.9,0,2.6,73.6,18.5,5.3,41.8,29.1,9.6,42536,50539,69610,76639,363,24,4.7,71.1,0,0,0,0.3,73,0.6,11.8,24.5,0.6,6.3,250962,1.08,4794027,13280,65.1,12.5,1172638,0,4516569,4395610,12176,54.9,2412224,6682,50.8,12.5,20.6,0.2,5.4,0.6,5.6,1,3.3,0,22.5,7.9,6.8,13.3,17.2,CROSBYTON CISD,17,Met Standard,054 CROSBY,Under 500,Rural,"$233,451 to < $256,362",Under $1.1398
054902,2,64,-1,82,61,,,,,62,65,85,62,57,57,95.5,0,73.3,92.3,9,-1,33.3,-1,-1,12,40,76.1,21,13.1,52.6,7.3,3.9,2.3,17,16.8,31.3,3.7,70.4,6.1,0,2.5,21,0,2.5,82.5,15,0,35,23.1,7.1,41195,48420,69778,78416,284,16.5,2.8,80.3,0,0,0,0.4,87.7,6,17.6,27.8,6,3.9,606805,1.027,6015699,20187,20.9,28.5,2112876,0,6007964,5669846,19026,57.7,3269134,10970,33.1,42.6,19.4,0.3,1.6,0,3,0,0,0,50.6,12.6,4.4,8.1,17.3,LORENZO ISD,17,Met Standard,054 CROSBY,Under 500,Rural,"$533,171 to < $666,628",Under $1.1398
054903,4,67,-1,77,64,,,-1,,64,70,88,52,72,56,95.3,1.4,96.4,97.4,23,11.8,58.6,1298,17.1,29,52.2,91.6,31.3,9.9,57,4.4,5.2,3.3,13.7,16.5,28.5,6.4,79.4,6,0,5.4,6.9,2.3,1.9,80.8,17.2,0,42.8,7.7,11.2,39448,50846,69153,83950,585,23.1,1.2,74.9,0.2,0.2,0,0.5,81.5,1,10.8,22.1,1,3.4,248866,1.04,6333489,11905,64.9,12.1,1824119,0,5933864,5884985,11062,55.3,3256457,6121,58.4,7.4,19.9,0.5,5,0.2,4.6,0.9,3.1,0,23,5.8,5.9,12.2,20.8,RALLS ISD,17,Met Standard,054 CROSBY,500 to 999,Rural,"$233,451 to < $256,362",Under $1.1398
055901,2,68,,94,65,,-1,83,-1,62,69,71,69,63,63,94.3,0,100,94.9,28,8.7,67.6,-1,18.1,34,34.5,65,3.3,11.8,53.1,3.4,3.3,4.6,12.5,23.1,70.7,6.6,81.8,9.6,0,2.9,5.7,0,0,45.3,54.7,0,34.3,11,12.5,45911,42659,75593,83038,431,7.4,0,90,0.2,0.9,0.5,0.9,74.2,7,5.6,32.9,6.5,6,778441,1.075,7051585,15363,11.9,9.4,2886967,0,8746865,5056518,11016,43.7,2208172,4811,43.2,11.1,24.4,0.8,7.4,0.5,8.9,1.3,2.3,0,78.7,15.7,4.9,15.1,20.6,CULBERSON COUNTY-ALLAMOORE ISD,18,Met Standard,055 CULBERSON,Under 500,Rural,"$666,628 to < $1,678,318",Under $1.1398
056901,5,71,-1,79,63,-1,71,69,,62,71,75,67,81,57,95.4,0.4,95,92,94,23.8,54.8,1576,20.6,115,132.6,221.4,21,11.2,59.9,5.6,3.9,1.8,17.6,11.3,19.8,7.9,78.7,6.5,1.1,5.2,8.2,0.2,2.3,88.7,8.3,0.8,35.9,11.6,13.3,43003,56658,74417,96721,1760,43.6,1.2,53.3,0.2,0.6,0,1.1,58.5,8.3,6.6,26,8.3,1.9,362047,1.198,17612206,9950,36.2,9.6,1168598,0,16648223,14633732,8268,57.6,8433216,4765,54.1,11.4,20.2,1.9,4.4,0.2,4.3,1.7,2,0,54.2,5.9,6.4,10.6,19.5,DALHART ISD,16,Met Standard,056 DALLAM,"1,600 to 2,999",Non-metropolitan Stable,"$332,093 to < $369,248",$1.1398 to under $1.2401
056902,1,72,-1,78,63,-1,,,,65,77,80,65,93,38,96.5,0,100,100,9,27.3,100,-1,19.4,11,16.7,30.2,27.7,12,55.1,0.2,2.6,3.3,19,19.8,9.6,6,86.9,7.5,0,1.2,4.5,0,0,100,0,0,42,13.3,10.8,44133,50470,70000,95000,180,47.2,2.2,48.9,1.1,0.6,0,0,68.9,18.9,8.9,27.8,18.9,5,708813,1.17,2417326,15496,26,7.7,897808,0,2275284,2221884,14243,52.2,1160343,7438,57.2,9.8,15.5,0,7.9,0.4,4.3,0,4.9,0,66.4,11.9,5.4,15.7,14.8,TEXLINE ISD,16,Met Standard,056 DALLAM,Under 500,Rural,"$666,628 to < $1,678,318",$1.1398 to under $1.2401
057802,1,64,53,-1,68,,-1,-1,-1,63,63,68,62,73,62,96.1,0.5,96.8,95.8,28,9.7,100,1235,-1,31,47.8,86.4,57.5,3.8,55.3,14,4.6,2.3,3.5,20.3,52.7,7.7,92,0,0,0,8,0,10.4,60.5,27.1,2.1,77.3,27.1,13.9,46443,44797,60125,128450,662,2.7,21,74.9,0,0.3,0.2,0.9,86.6,42.1,8.6,0,42.1,0,,,7756987,10685,89.1,10.5,0,1240506,7564716,7564716,10420,49.1,3715989,5118,74.5,7.4,15.8,2,0,0,0.2,0.2,0,0,0.4,8.7,8.2,19.3,14.7,PEGASUS SCHOOL OF LIBERAL ARTS AND,10,Met Alternative Standard,057 DALLAS,500 to 999,Charters,Non-taxing entities,Non-taxing entities
057803,6,89,83,93,82,100,88,97,-1,81,91,90,90,85,85,97.4,0.2,99.2,100,120,62.9,-2,1713,25.8,121,171.3,319.1,30,2.7,53.7,23.7,0.9,1.9,4.6,15.2,31.8,8.5,90.6,1.2,1.2,0,6.8,0.3,13.4,61.7,9.7,15.1,81.3,15.2,15.9,48502,57255,59269,78168,2724,13.6,6.6,41.3,0.1,34.7,0,3.6,38,15.4,5.1,19.5,15,0,,,21703962,9874,77.8,4.2,0,6384094,22752110,20388436,9276,47.3,9633352,4383,86.4,4.7,4.9,1.5,2.2,0,0.4,0,0,0,18,21.9,6.6,12.8,11.5,UPLIFT EDUCATION - NORTH HILLS PRE,10,Met Standard,057 DALLAS,"1,600 to 2,999",Charters,Non-taxing entities,Non-taxing entities
057804,11,57,51,68,59,50,77,62,,57,54,49,67,67,,89.9,10.1,51.5,64.8,851,0.8,8.7,1154,15.1,1408,210.6,501.9,45.1,4.5,42,40.7,7.1,3.6,2,4.7,74.4,8.3,70.7,4.8,0.2,0,24.3,0,48,29.6,18.2,4.2,69.7,20.2,19.7,48495,37907,62128,78125,4158,2.9,30.8,65.2,0.3,0.5,0,0.3,94.8,15.4,10.5,19.6,15,0,,,43985648,10330,81.5,12.5,0,17685852,41437930,40993980,9628,33.9,13913943,3268,41.3,20.8,28,5,4,0,0.3,0.7,0,0,6,18.4,12,16.6,19,TEXANS CAN ACADEMIES,10,Met Alternative Standard,057 DALLAS,"3,000 to 4,999",Charters,Non-taxing entities,Non-taxing entities
057805,1,76,-1,100,67,,-1,-1,,54,76,,,,,95.8,,,,,,,,,,14.1,34.3,41.3,12.8,41,13.4,4.2,5.1,28.7,7.7,47.7,7.9,87.4,0,0,7.8,4.8,0,11.9,66.7,7.1,14.2,28.5,43.7,19.4,41742,53226,67112,73105,272,19.5,2.6,72.4,0,1.1,0,4.4,62.5,45.6,6.6,0,42.6,0,,,2426899,8890,69,7,0,670424,2390688,2372828,8692,52.6,1249018,4575,50.5,12.7,27.5,9.3,0,0,0,0,0,0,24,16.9,12.5,6.5,11.4,LUMIN EDUCATION,10,Met Standard,057 DALLAS,Under 500,Charters,Non-taxing entities,Non-taxing entities
057806,1,63,60,73,62,-1,62,83,-1,61,68,79,52,65,55,96.7,1,94.7,97.6,36,6.7,81.1,1194,14.9,37,99.8,194.4,58.8,3.6,51.4,25.5,7.7,0.5,6.2,8.7,43.6,8.4,89.3,3.1,0.3,1.3,6,0,23.8,63.1,9,4.1,74.2,17.8,16.4,41928,44241,51933,135000,1633,17,18.6,61.1,0.2,1.2,0.2,1.6,74,25.8,7.2,17.8,24.1,1.3,,,15050000,9233,89.9,8.9,0,164572,14204910,12803577,7855,46.4,5936375,3642,61.8,11,14.3,7.2,3.5,0,0.7,0.7,0.8,0,1.3,10.5,9,20,14.1,ADVANTAGE ACADEMY,10,Met Standard,057 DALLAS,"1,600 to 2,999",Charters,Non-taxing entities,Non-taxing entities
057807,5,78,75,89,74,89,89,89,100,73,80,93,72,69,73,97.2,0,100,99.2,128,8.5,74.6,1339,18.9,142,289.6,448.1,24.6,4.6,64.6,11.4,6,2,9.4,6.6,27.8,11.2,83.4,2.1,0,0,9.1,5.4,15.9,75.2,6.9,2.1,70.3,22.1,17.4,45275,61140,57278,134698,5026,16,48.1,31.8,0.3,0.7,0.1,2.9,55.2,9.6,6.4,17.2,9.5,4.4,,,41526403,8942,89.5,7.8,0,1036783,41389501,36871304,7940,51.9,19133958,4120,69.3,10.4,10.7,0.5,1.5,0.3,4.5,2.8,0,0,2.7,13.3,6.1,16.9,11.8,LIFE SCHOOL,10,Met Standard,057 DALLAS,"5,000 to 9,999",Charters,Non-taxing entities,Non-taxing entities
057808,2,84,76,96,75,-1,100,97,,73,87,50,76,78,85,97.4,0,100,100,12,0,91.7,1325,-1,12,118.2,187.4,30.1,2.7,63,13.3,3.3,2.7,17.7,0,47.4,9.5,83,0.1,1.7,0,1.7,13.6,30.7,53.3,9.3,6.7,79.4,11.3,15.1,44653,45001,56404,130500,1790,1.5,17,30.5,0.7,49.5,0,0.8,39.3,27.2,1.8,1.7,26.4,10.6,,,13350509,8795,87.7,6.3,0,1617766,13741176,13611379,8967,48.6,6618367,4360,86.5,2.9,3.8,4.1,0.6,0,0.6,0,1.3,0,6,10.9,3.5,22,15,UNIVERSAL ACADEMY,10,Met Standard,057 DALLAS,"1,600 to 2,999",Charters,Non-taxing entities,Non-taxing entities
057809,1,71,-1,,80,,,,,73,71,,,,,96.5,,,,,,,,,,12.7,27.7,18.2,6.1,45.8,25.3,7.2,7.2,7.2,7.2,78.3,8.1,92.1,0,7.9,0,0,0,68.5,31.5,0,0,60.6,21.2,17.7,41099,41905,37286,52200,224,2.2,42,55.8,0,0,0,0,95.5,37.9,2.7,0,34.4,0,,,1485653,7428,92.6,7.2,0,509043,1473618,1473618,7368,39.9,588168,2941,73.2,2.9,18.1,5.6,0,0,0,0,0.2,0,0.2,26.6,6.8,15.7,10.9,NOVA ACADEMY,10,Met Standard,057 DALLAS,Under 500,Charters,Non-taxing entities,Non-taxing entities
057810,1,52,56,,46,,,,,51,68,,21,18,60,94.6,,,,,,,,,,31,55,59.4,7.5,56.4,21.8,3.6,0,12.7,5.5,89.1,11.7,64.5,0,0,22.6,12.9,0,87.1,6.5,3.2,3.2,41.9,35.5,20.8,31404,28756,55525,,644,0.9,78.7,20.3,0,0,0,0,87.7,10.6,2.3,0,9.9,0,,,5066808,8403,86.7,13.3,0,209045,5318500,5310545,8807,45.5,2417279,4009,54.1,11.5,12.1,0.2,0,9.5,1.4,0,11.3,0,0,15.1,12.2,14.9,12.3,ACADEMY OF DALLAS,10,Improvement Required,057 DALLAS,500 to 999,Charters,Non-taxing entities,Non-taxing entities
057811,2,75,75,,78,,,,,75,82,,52,,66,,,,,,,,,,,34.7,75,,3.9,46.3,6.7,7,4,17.3,18.7,100,9.5,74.1,0,0,25.9,0,0,100,0,0,0,69.1,10.7,20.6,37529,56035,26282,167700,716,1,95.7,3.1,0.1,0.1,0,0,98.6,0,0.1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILDREN FIRST ACADEMY OF DALLAS,10,Met Standard,057 DALLAS,500 to 999,Charters,Non-taxing entities,Non-taxing entities
057813,1,62,65,-1,62,-1,-1,75,,62,66,95,65,30,59,96.4,,,,,,,,,,108.6,236.5,48.3,3.6,45.9,12.5,4.2,1.3,20.3,15.7,51.8,7.8,90.8,0,0.9,0,8.3,0,7.9,78,10.5,3.6,76.2,8.1,16.9,44079,50155,63363,159000,1840,0.6,1.8,95.7,0.3,1.6,0,0.1,90.9,68.6,7.1,0,66.7,0,,,15875148,9166,86.6,12.7,0,-299285,15643210,14907255,8607,52.8,7877142,4548,67.6,10.4,8.7,2.9,0,0,0.1,0,10.3,0,0.7,17.3,5.3,12.1,12.5,TRINITY BASIN PREPARATORY,10,Met Standard,057 DALLAS,"1,600 to 2,999",Charters,Non-taxing entities,Non-taxing entities
057814,5,23,23,-1,21,,-1,-1,,23,25,20,23,-1,-1,83.2,35.9,0,0,,,,,,,49,87.5,25.5,14.3,56,8.6,5.7,2.3,9.1,18.3,78.3,5.8,78.9,4.7,4.1,0,12.2,0,71.4,18.4,6.1,4.1,14.3,28.6,10.3,48617,56133,59416,56969,506,7.9,45.5,45.1,0.2,0.4,0,1,100,12.8,21.3,43.3,12.1,0,,,6848050,12800,77.9,22.1,0,-2237118,7013230,7013051,13109,62.8,4403270,8230,41.7,16.5,26.9,9.9,4.9,0,0,0,0,0,0,13.5,13.2,2.1,8.5,ACADEMY FOR ACADEMIC EXCELLENCE,10,Not Rated,057 DALLAS,500 to 999,Charters,Non-taxing entities,Non-taxing entities
057815,3,51,48,37,52,-1,50,-1,-1,51,52,71,46,54,40,95.5,0.8,92.7,97.8,48,0,58.5,1156,16,53,135.1,264.2,36.5,3.1,51.1,9.2,3.4,1.2,9.4,25.7,59.5,9,87.8,3,1.4,0,6,1.7,20.4,53.9,25.7,0,80.9,15.4,17.7,50120,63440,76497,127560,2390,1.2,34.3,64.1,0.1,0.1,0,0.3,95.4,54,4.5,16.3,53.2,1,,,20735478,9503,85,14,0,1875364,19274032,18386785,8427,59.9,11010555,5046,62.8,6.1,16.7,3.6,2.6,0,0.8,0.7,6.8,0,1,7.7,5.5,15.9,10.9,FAITH FAMILY ACADEMY OF OAK CLIFF,10,Improvement Required,057 DALLAS,"1,600 to 2,999",Charters,Non-taxing entities,Non-taxing entities
057816,2,68,69,-1,65,-1,-1,,100,66,72,100,62,52,66,97.9,,,,,,,,,,102,204,23,8.8,50,6.8,2.5,2,6.4,32.4,96.1,10.5,94.1,0,0,0,5.9,0,94.1,4.9,0,1,36.3,34.3,21.1,49790,63972,80082,123924,2152,0.3,97.1,2,0.1,0.1,0.2,0.1,84.6,0.6,5.6,0,0.6,0,,,16750272,8413,84.6,11.8,0,713627,16935422,15327543,7698,61.4,9408905,4726,57.2,13,16.9,0.1,0,0,1.3,0,11.6,0,3.6,9.7,3.2,12.3,13.5,A W BROWN-FELLOWSHIP LEADERSHIP AC,10,Met Standard,057 DALLAS,"1,600 to 2,999",Charters,Non-taxing entities,Non-taxing entities
057817,1,55,55,,53,,-1,,,55,55,57,50,43,67,95.6,0,,,11,0,52.6,1181,,19,50.3,88,60,2.8,57.1,6.3,7.8,1.1,9,18.6,89.9,10.1,96.7,3.3,0,0,0,0,74.9,11.8,7.5,5.8,87.9,19.3,17.6,43505,73636,71181,163000,885,0.3,93,6.4,0,0,0,0.2,99.8,0.9,14.9,8.9,0.9,0,,,9148641,10303,82.1,14.4,0,0,8783302,7946850,8949,57.8,4595164,5175,68.3,14,14.2,0,0.9,0,2.6,0,0,0,3.5,15.6,1.8,9.2,15.7,FOCUS LEARNING ACADEMY,10,Improvement Required,057 DALLAS,500 to 999,Charters,Non-taxing entities,Non-taxing entities
057819,1,70,68,85,68,,-1,,,72,70,75,73,77,58,95.7,0,-1,100,2,-1,-1,-1,-1,2,15,32.8,13.3,1.5,45.8,3.1,3.1,3.1,29.9,15.1,24.3,5.9,97.8,2.2,0,0,0,0,13.3,73.3,0,13.3,93.3,20,12.9,42795,55000,49351,90001,193,10.9,23.3,63.7,0,0,0.5,1.6,93.8,52.8,10.4,3.6,52.8,0,,,2128956,10862,82.3,16,0,908337,1937859,1903089,9710,54.9,1045079,5332,48.4,17.5,29,2.2,2.2,0.2,0.1,0,0.5,0,1.7,9.8,5.9,12.8,16.6,JEAN MASSIEU ACADEMY,10,Met Standard,057 DALLAS,Under 500,Charters,Non-taxing entities,Non-taxing entities
057827,2,70,65,63,73,,-1,,,70,76,,53,42,78,97.5,,,,,,,,,,45.4,86.9,49.8,6,52.3,23.6,3.5,2.3,11.5,6.9,86.6,8.3,89.2,2,4.4,0,4.4,0,70.1,21.1,8.8,0,60.5,22.1,15.9,42329,38331,62122,130768,720,1.8,35.7,61.9,0,0,0,0.6,91.4,35.4,5.7,16.8,35.3,0,,,6105049,8978,92.9,6.9,0,1434093,5439379,5036813,7407,43.7,2203087,3240,68.3,7.6,18.7,5.5,0,0,0,0,0,0,0.2,16.4,6.4,18.9,14.5,NOVA ACADEMY (SOUTHEAST),10,Met Standard,057 DALLAS,500 to 999,Charters,Non-taxing entities,Non-taxing entities
057828,6,58,48,71,54,72,67,45,-1,54,54,37,69,71,,81.6,18.3,29.1,44.4,69,8,6.9,1475,18,363,58.2,134.6,51.6,6.5,43.3,32.6,13,4.5,0,6.7,34.6,9.3,71.8,0,0,0,28.2,0,16.7,69.9,6.7,6.6,65,32.2,21.4,44289,44490,42643,95962,1248,33.7,19.6,41.4,1,1.9,0.4,2,57.2,8.3,10.1,96,7.9,0,,,11299177,8036,96.1,3.8,0,236300,11989204,11259054,8008,50.6,5693959,4050,59.1,16.3,10.6,0.1,11.3,0,0,2.7,0,0,0.1,11.9,11.7,11.5,14.4,WINFREE ACADEMY CHARTER SCHOOLS,10,Met Alternative Standard,057 DALLAS,"1,000 to 1,599",Charters,Non-taxing entities,Non-taxing entities
057829,1,62,44,65,63,,48,,,62,67,80,51,50,60,96.9,0.6,98.7,96.8,66,1.5,83.8,1198,-1,80,73,141.8,25.7,9.6,51.5,8.6,2.8,2.5,11.9,22.6,50.2,6.9,67.7,5.7,7.9,3.6,10.1,4.9,13.4,50.7,30.3,5.6,34,41.1,13.3,50546,58219,79884,112939,974,4.1,3.4,90.8,0,0,0,1.7,93.8,37.7,11.2,32,37.3,4,,,9991808,10052,85.4,13.6,0,2631452,9975015,9966979,10027,53.5,5330859,5363,43.2,12.9,18.7,16.4,4.7,0.5,1.9,0.8,1.1,0,1,9.6,6.3,14.3,16.4,A+ ACADEMY,10,Met Standard,057 DALLAS,500 to 999,Charters,Non-taxing entities,Non-taxing entities
057830,2,69,73,64,69,-1,-1,-1,,69,72,78,64,48,82,97.2,0.5,,,,,,,,,67.1,137.7,44.3,8.5,48.7,9.2,4.4,2.2,10.5,25.1,59.6,7.9,74.5,2.7,6.5,2.7,8.1,5.5,28.7,47.1,18.8,5.3,36.5,35.1,16.2,49257,54224,75233,112765,1084,0.8,9,89.5,0.1,0.1,0.1,0.4,95,37.7,10.3,25.6,35.8,1.8,,,10737040,9933,86.5,12.3,0,1270256,9987890,9926304,9183,49.9,4955154,4584,43.9,10.1,18.5,17.1,3.6,0.8,2,0.9,3.2,0,1.3,9.8,7.1,18,15.1,INSPIRED VISION ACADEMY,10,Met Standard,057 DALLAS,"1,000 to 1,599",Charters,Non-taxing entities,Non-taxing entities
057831,2,61,61,-1,-1,,,-1,,59,64,60,59,48,60,97.3,0.6,100,100,29,0,77.4,1142,14,31,42.9,75.7,57,2.1,56.7,7.9,3.5,2.6,8,21.2,88.2,9.6,81.4,7.8,0,4.7,6.2,0,76.9,6.8,4.7,11.7,89,6.5,17,42120,40004,56574,104087,729,0.8,96.2,2.3,0.1,0.4,0,0.1,73.5,0.4,9.3,31.7,0.5,4.5,,,7614243,9774,84,11.8,0,21957,7412106,6790737,8717,44.8,3041401,3904,50.7,12.8,24.3,0.8,2.9,1.5,3.3,0,3.7,0,4.2,8.3,6.6,24.2,16.1,GATEWAY CHARTER ACADEMY,10,Met Standard,057 DALLAS,500 to 999,Charters,Non-taxing entities,Non-taxing entities
